0,1,2,3,4,5,6,7,8,9,10,11,12,label
-258.5121,93.486824,19.073263,41.6261,-8.376874,-4.239032,-6.916268,0.12503895,-12.351103,-5.5896926,-5.302509,-10.774176,-3.637331,afrikaans
-226.01784,83.14463,10.672361,47.219124,10.547471,2.750289,-6.4822364,-10.342087,-5.6452837,-12.039074,-5.248535,-5.713417,-8.489958,afrikaans
-272.2491,96.36902,10.002475,43.499622,5.189576,-5.887327,-17.365622,-31.785936,-21.387007,0.3802541,-9.930671,-8.728368,-10.990196,afrikaans
-224.65004,100.8035,21.656948,44.32175,5.4257555,5.8651743,-18.956059,4.332254,-6.937421,-9.336956,-2.727019,-3.3201973,-4.1715765,afrikaans
-304.80777,99.69255,12.969385,12.223477,4.3082147,8.300486,-1.0792859,-4.0974174,-5.8963537,-3.5845313,-4.953259,-2.0878363,-10.375592,afrikaans
-295.11255,113.03326,37.836338,50.486828,4.389133,2.7697413,0.93401164,-17.098036,-0.5012764,11.980206,-0.09228856,14.597657,-4.514892,albanian
-275.13135,91.45298,-4.4675617,27.98137,-12.810874,5.9632583,-1.7178823,3.1731083,-8.766776,-7.3933835,-1.0923207,-0.43484035,-7.4188895,albanian
-314.37378,107.2884,14.022647,34.227776,3.7868218,-12.248837,-25.785862,5.590793,-11.062082,-10.684829,-0.8039653,-9.364891,-12.6475315,albanian
-331.58884,102.14181,25.463276,25.282522,-7.4693108,-18.626373,-8.229059,-5.605983,-20.251314,-3.1302397,-12.628618,-6.657096,-16.43777,albanian
-251.00822,82.25165,9.735817,54.26496,1.0179007,-0.42968172,-27.918133,1.0945493,-7.3319387,-1.9774714,3.5932105,-9.694312,-9.463745,albanian
-289.1957,88.91482,13.843935,23.249754,8.042858,-3.4381242,-5.6668034,-7.1029997,-3.2724752,3.1509082,0.9494224,0.4152512,-0.14829509,albanian
-304.16428,107.02396,-0.41030023,29.297773,-3.392849,-12.036355,-22.689194,-9.510409,-11.955408,-8.901773,-9.082131,-4.6868157,-7.1936116,albanian
-295.9872,83.51688,-4.4707565,15.369807,2.531857,-4.3579535,-23.435938,-14.162504,-14.135521,-6.4724684,-6.937863,-0.3057856,-2.1285498,albanian
-305.7296,78.04193,3.8648076,16.807894,-12.740306,-10.676027,-12.753213,-10.174756,-13.729855,-9.156335,-8.107116,-10.584262,1.6270329,albanian
-349.28455,96.15165,15.749486,15.309352,5.067689,1.6570487,-7.454904,0.51010114,-10.431261,-10.621121,-8.709243,-0.49359992,-6.173155,amazigh
-292.5901,113.830025,19.214634,22.090351,15.3578005,-11.712183,5.279553,-3.8776636,-10.162847,10.871551,-10.414978,3.1237314,6.76232,amazigh
-321.49942,101.825584,31.107489,37.028572,10.060353,0.25146243,-2.0049207,-7.1613784,-6.715831,0.31365654,-3.3178313,-2.4111784,3.2126818,amharic
-360.42496,98.24213,20.637827,29.804193,3.293555,2.96707,-4.844242,5.939751,4.153888,2.3818514,3.3341305,2.046088,2.0208752,amharic
-277.43707,81.2923,23.91556,36.237858,-3.0634162,1.0616314,-17.70475,-3.015301,-10.681614,-10.743989,5.857218,0.21165234,-6.2498307,amharic
-271.96707,95.63866,29.568798,43.49721,-5.1808743,-16.921398,-24.01717,6.2457213,1.726631,-6.777745,1.8984399,-5.804314,-7.5055118,amharic
-307.6979,82.239044,24.666931,35.74807,9.568716,-6.2653933,-18.668549,-3.2460487,3.4236214,-5.217046,-0.7106218,3.4267297,-7.391858,amharic
-295.49005,127.87472,15.8537855,31.256628,-4.1251235,7.884855,-11.714595,4.196487,-1.3707447,-6.66234,5.79769,0.13677739,-6.083653,amharic
-321.87256,113.20558,12.5855,20.690886,3.3472316,0.28671962,-9.366188,-2.300806,-15.796896,-4.098442,-1.2954689,-0.9401456,-1.736324,amharic
-314.6279,93.03328,-21.219381,18.953154,-8.155423,-3.588078,-11.028573,-14.164334,-11.660833,-2.8149817,-10.49894,3.1781936,-15.34698,amharic
-281.31696,79.17757,7.089823,23.018253,2.5910373,-29.022747,-31.33129,-20.32628,-19.44945,-15.637262,-9.579374,-13.28217,-5.2564464,amharic
-335.09192,70.85685,-16.486479,17.53402,-17.934458,-18.566967,-18.49357,-17.662483,-19.62116,-12.57145,-15.964557,-13.814801,-11.49738,amharic
-271.15546,51.832657,25.908602,8.755272,2.330231,-9.956312,-9.051205,-7.355111,-9.571006,-1.159773,-5.9246054,6.54679,-1.7037637,amharic
-298.72122,96.20303,-7.3195624,35.056095,1.7686806,7.1211147,-2.9800563,2.954025,-17.433493,-4.822472,-1.4792781,-13.80693,-8.655094,amharic
-283.41486,50.176243,2.9947941,4.359224,-2.4886205,-22.666222,-9.308969,-6.8426986,-15.326319,6.6739197,-11.945245,1.4440295,-6.7564225,amharic
-275.1465,111.17583,43.320698,37.023914,19.291548,-1.2579128,-18.372995,-4.845896,-3.7256095,12.491727,3.2142415,0.52271426,5.713164,amharic
-408.84143,38.014145,21.346416,30.179338,-2.7799835,-24.69209,-8.848642,-6.914634,-10.834963,-12.411868,-16.64289,11.95032,-10.703328,amharic
-350.2602,47.687626,0.23934443,26.808641,-26.917334,-3.28283,-6.794359,-2.4182541,-15.001738,-12.097662,-4.2082644,-7.3280854,-19.089123,amharic
-336.10403,34.20154,15.828472,21.197544,-0.9936995,-13.595801,-14.53233,2.2552567,-9.924844,-10.650702,-4.6555,-12.539539,-4.2008767,amharic
-334.72076,93.69757,43.347824,20.93893,-6.105166,-5.8351536,-0.4080078,6.85516,-9.714666,-5.8010025,-0.12562858,5.880392,-3.6564255,amharic
-388.65222,44.338303,25.106869,28.44643,-9.055529,-20.320818,-9.791673,-12.9823475,-22.812859,-4.8966837,1.4296491,-2.1807728,-1.2614696,amharic
-355.60074,102.56279,37.929626,38.734512,16.301981,-6.810011,-9.940531,12.494269,4.580982,4.2632856,5.248179,3.0111837,0.74360925,amharic
-224.99417,73.402405,25.41134,39.823063,-3.6336358,0.17240216,3.3923616,-2.965713,-9.197947,-1.8052895,-4.613003,-0.53163296,-3.4116437,arabic
-317.99323,91.5025,3.5223517,33.12568,9.8204975,-1.1629502,2.6766436,-17.048788,-8.816578,4.839348,-7.8372016,6.201283,-2.4018743,arabic
-301.683,83.62193,6.5207014,0.9428185,-19.574402,-14.884485,-17.035654,-12.812115,-14.829547,-4.7719193,-14.983598,-9.618587,-9.20156,arabic
-295.3039,70.75945,12.306586,37.38549,-11.383186,-11.308742,-18.007145,-11.644006,-18.473969,-19.062325,-9.584015,-12.887241,-10.477968,arabic
-226.14029,76.87982,49.834217,30.755686,11.831662,-11.393528,-19.998714,8.736276,-11.788992,-8.245823,1.9083455,-5.4246097,-7.046314,arabic
-411.89795,45.69332,5.6487947,1.4214455,-19.900362,-16.55842,-4.1617427,-7.805333,-21.906654,-8.496666,-0.79598796,-14.747474,-20.277225,arabic
-387.74588,43.40596,-16.90742,24.957588,-17.520613,-8.750471,-6.5172324,-11.730476,-30.511045,-1.2986819,-8.167809,-2.8214588,-6.8423166,arabic
